"","GAZP","MGNT","MTSS","NLMK","SBER","ret_GAZP","ret_MGNT","ret_MTSS","ret_NLMK","ret_SBER"
"2020-02-10",225.2,3564.5,330.7,137.58,252.26,-0.0172133413028668,-0.0209598900731027,-0.000906755389316061,-0.0172939891635258,-0.00805437076902749
"2020-02-11",233.9,3575,332.7,137.2,254.5,0.0379047773245977,0.00294138457042514,0.00602956303668378,-0.00276585080608349,0.00884053433153031
"2020-02-12",238.03,3760,339,141.24,254.5,0.0175030425578226,0.0504537812558326,0.0187589243560193,0.0290208557684011,0
"2020-02-13",233.55,3750,337.8,139.14,253.89,-0.0190005291998387,-0.002663117419484,-0.00354610300674985,-0.0149799505646904,-0.00239973364045287
"2020-02-14",232.5,3669,340.55,140.32,251.75,-0.00450596192070574,-0.0218366946091741,0.00810795331362701,0.00844490812837773,-0.00846457075145235
"2020-02-17",233.75,3697,341,140.42,251.36,0.00536194314138516,0.00760253458135018,0.00132051959618984,0.000712402965230119,-0.00155035709136087
"2020-02-18",230.5,3620,341.4,138.9,249.2,-0.0140013057320933,-0.0210476541168152,0.00117233307682341,-0.0108836818288047,-0.00863038759401302
"2020-02-19",231.9,3640.5,348.1,139.12,249.7,0.00605538182478238,0.00564700901494852,0.0194349844570532,0.00158262028572942,0.00200441037242971
"2020-02-20",234.6,3641,347.5,139.98,250.15,0.0115756919578898,0.00013733434066765,-0.00172512981254691,0.006162685215366,0.00180054064848623
"2020-02-21",232,3625,348,139.82,250.8,-0.0111445645530655,-0.00440408088665833,0.0014378147696279,-0.00114367417755457,0.0025950708245519
"2020-02-25",224.68,3503,337.5,137.72,245.19,-0.0320602040020779,-0.034234544091289,-0.0306369694618898,-0.0151332426135165,-0.0226223885626178
"2020-02-26",224.76,3529,339,136.74,250.8,0.000355998579765426,0.00739480047778329,0.0044345970678652,-0.00714132598467465,0.0226223885626178
"2020-02-27",217.5,3345,329,131.4,242.88,-0.0328343157152586,-0.0535478511129401,-0.029942356615078,-0.0398352064351375,-0.0320883145515012
"2020-02-28",202.65,3160.5,320.5,124.94,233.36,-0.070718497454421,-0.0567364506499768,-0.0261754744046474,-0.0504124839850864,-0.0399851686477986
"2020-03-02",198.78,3201,327.2,122.18,228.17,-0.0192816675344583,0.01273301805751,0.0206893283678671,-0.0223382548438034,-0.022491360401987
"2020-03-03",201.48,3150,328.25,122.36,236.63,0.0134914353375901,-0.0160608081501845,0.00320390845431362,0.00147215206108164,0.0364067746294809
"2020-03-04",200,3130,328.75,123.16,235.27,-0.00737275432941331,-0.00636944828547925,0.00152207030906926,0.00651680377359742,-0.00576394899463217
"2020-03-05",198,3121,329.55,124.38,232.33,-0.0100503358535011,-0.00287954126341994,0.00243050400675493,0.00985707261944313,-0.0125750160051314
"2020-03-06",188.27,2984,318.8,119.56,219.99,-0.050389927957915,-0.0448887809471277,-0.0331641405826693,-0.0395230582600057,-0.0545766840133783
"2020-03-10",171,2669.5,294.8,118.04,201.2,-0.0962135462339599,-0.11137349338341,-0.0782667866008788,-0.0127947873409981,-0.089282652548234
"2020-03-11",172.03,2705,293.3,120.7,194.53,0.00600532370628759,0.0132107233403405,-0.00510118433177631,0.0222845780287466,-0.0337130454158583
"2020-03-12",163.73,2337,272.95,111.14,175.91,-0.0494501505575471,-0.146233856741723,-0.071907347755638,-0.0825174602517107,-0.100613892198912
"2020-03-13",166.1,2501,269,109.54,198.6,0.0143712869678483,0.0678225963387611,-0.0145772486259279,-0.0145008884962001,0.121320251000259
"2020-03-16",168.07,2636,267.1,108.76,195.85,0.0117905426692264,0.0525719647447787,-0.00708825948592384,-0.00714615959130516,-0.0139436914992324
"2020-03-17",167,2765.5,268.45,107.8,184.01,-0.00638674687172003,0.0479588338123351,0.00504155675266293,-0.00886596128937267,-0.0623589561535569
